entity,site_name,site_id,lat,long
"NARS_WQX",TRIB TO VAN DUZEN,"NARS_WQX-WCAP99-1057",40.49014,-124.00231
"NARS_WQX",WEST FORK PECWAN CREEK,"NARS_WQX-WCAP99-1060",41.39686,-123.83009
"NARS_WQX",SHOLES CREEK,"NARS_WQX-WCAP99-1063",40.16947,-124.04001
"NARS_WQX",NORTH FORK YAGER CREEK,"NARS_WQX-WCAP99-1074",40.59509,-123.91843
"NARS_WQX",WEST FORK SPROUL CREEK,"NARS_WQX-WCAP99-1075",40.03758,-123.88138
"NARS_WQX",MAPLE CREEK,"NARS_WQX-WCAP99-1090",41.09051,-124.08467
"NARS_WQX",CORNER CREEK,"NARS_WQX-WCAP99-1106",40.61985,-124.03025
"NARS_WQX",MINK CREEK,"NARS_WQX-WORP99-0508",43.32611,-123.84609
"NARS_WQX",UPPER ROCK CREEK,"NARS_WQX-WORP99-0520",43.02091,-123.82502
"NARS_WQX",MCCLURE CREEK,"NARS_WQX-WORP99-0661",45.85907,-123.61917
"NARS_WQX",HARLISS CREEK,"NARS_WQX-WORP99-0739",45.69002,-123.71726
"NARS_WQX",WIND CREEK,"NARS_WQX-WORP99-0748",43.64969,-124.09439
"NARS_WQX",NIAGARA CREEK NEAR NESTUCCA RIVER,"NARS_WQX-WORP99-0813",45.20871,-123.64986
"NARS_WQX",WEST FORK SMITH RIVER,"NARS_WQX-WORP99-0825",43.85208,-123.71965
"NARS_WQX",NESTUCCA RIVER TRIBUTARY,"NARS_WQX-WORP99-0879",45.30062,-123.47625
"NARS_WQX",SIUSLAW RIVER,"NARS_WQX-WORP99-0885",43.87526,-123.50137
"NARS_WQX",WILLIAMS RIVER,"NARS_WQX-WORP99-0892",43.2619,-123.72523
"NARS_WQX",UPPER LAND CREEK,"NARS_WQX-WORP99-0952",42.82928,-124.04333
"NARS_WQX",ROUGH CREEK,"NARS_WQX-WORP99-1017",43.18245,-122.32812
"NARS_WQX",WILLAPA RIVER,"NARS_WQX-WWAP99-0515",46.57226,-123.61003
"NARS_WQX",QUINN CREEK,"NARS_WQX-WWAP99-0517",48.08744,-124.59939
"NARS_WQX",ROCKY BROOK,"NARS_WQX-WWAP99-0520",47.74267,-122.97348
"NARS_WQX",SISSON CREEK,"NARS_WQX-WWAP99-0521",46.3147,-123.73346
"NARS_WQX",TRIBUTARY TO DUCKABUSH RIVER,"NARS_WQX-WWAP99-0566",47.65133,-123.35231
"NARS_WQX",SKOOKUMCHUCK RIVER,"NARS_WQX-WWAP99-0602",46.71331,-122.48159
"NARS_WQX",SALMON RIVER,"NARS_WQX-WWAP99-0604",47.53383,-124.05941
"NARS_WQX",TRIB. SOUTH FORK TOUTLE RIVER,"NARS_WQX-WWAP99-0608",46.2615,-122.52147
"NARS_WQX",EAST FORK DICKEY RIVER,"NARS_WQX-WWAP99-0639",48.02538,-124.44327
"NARS_WQX",DANNY WALKER CREEK,"NARS_WQX-WWAP99-0689",47.27658,-123.45342
"NARS_WQX",OYSTER CREEK,"NARS_WQX-WWAP99-0692",48.6306,-122.4367
"NARS_WQX",MINERAL CREEK,"NARS_WQX-WWAP99-0714",46.72199,-122.15535
"NARS_WQX",TRIBUTARY TO SNAHAPISH RIVER,"NARS_WQX-WWAP99-0716",47.69004,-124.17229
"NARS_WQX",LITTLE NORTH RIVER,"NARS_WQX-WWAP99-0720",46.91606,-123.58942
"NARS",BOULDER CREEK,"NARS-ORSE04-R003",43.33,-122.5
"NARS",ANNIE CREEK_WOOD RIVER,"NARS-ORSE04-R015",42.76,-122.05
"NARS",SMITH RIVER,"NARS-OSM04461-0001",43.8,-123.79
"NARS",SMITH RIVER,"NARS-OSM04461-0002",43.8,-123.76
"NARS",SMITH RIVER,"NARS-OSM04461-0004",43.78,-123.81
"NARS",SMITH RIVER,"NARS-OSM04461-0005",43.78,-123.85
"NARS",SMITH RIVER,"NARS-OSM04461-0006",43.78,-123.88
"NARS",SMITH RIVER,"NARS-OSM04461-0007",43.78,-123.89
"NARS",SMITH RIVER,"NARS-OSM04461-0008",43.77,-123.96
"NARS",EEL RIVER,"NARS-WCAP99-0814",40.39,-123.92
"NARS",SMITH RIVER,"NARS-WCAP99-0817",41.82,-124.11
"NARS",SMITH RIVER,"NARS-WCAP99-1072",41.84,-124
"NARS",CORNER CREEK,"NARS-WCAP99-1106",40.61,-124.03
"NARS",COLDWATER CREEK,"NARS-WCAP99-R026",41.84,-124.03
"NARS",CLARKS CREEK,"NARS-WCAP99-R029",41.8,-124.11
"NARS",EIGHTEEN MILE CREEK,"NARS-WCAP99-R030",41.85,-123.91
"NARS",CANOE CREEK,"NARS-WCAP99-R077",40.29,-123.9
"NARS",HONEYDEW CREEK,"NARS-WCAP99-R078",40.2,-124.11
"NARS",REDWOOD CREEK,"NARS-WCAP99-R080",40.12,-123.84
"NARS",FERN CANYON,"NARS-WCAP99-R092",41.4,-124.06
"NARS",GRIZZLY CREEK,"NARS-WCAP99-R098",40.48,-123.9
"NARS",ROGUE RIVER,"NARS-WORP99-0502",42.42,-123.25
"NARS",UMPQUA RIVER,"NARS-WORP99-0670",43.65,-123.72
"NARS",ROGUE RIVER,"NARS-WORP99-0671",42.65,-124
"NARS",NIAGARA CREEK NEAR NESTUCCA RIVER,"NARS-WORP99-0813",45.2,-123.64
"NARS",ROGUE RIVER,"NARS-WORP99-0887",42.52,-124.16
"NARS",SIUSLAW RIVER,"NARS-WORP99-0950",43.98,-123.63
"NARS",EVANS CREEK,"NARS-WORP99-0957",42.69,-122.96
"NARS",TAHUYA RIVER,"NARS-WWAP04-R017",47.51,-122.88
"NARS",DUCKABUSH RIVER,"NARS-WWAP04-R021",47.68,-123.06
"NARS",TWIN CREEK,"NARS-WWAP04-R264",47.83,-123.99
"NARS",ROCKY BROOK,"NARS-WWAP99-0520",47.74,-122.97
"NARS",NOOKSACK RIVER,"NARS-WWAP99-0569",48.86,-122.56
"NARS",EAST FORK DICKEY RIVER,"NARS-WWAP99-0639",48.02,-124.44
"NARS",MINERAL CREEK,"NARS-WWAP99-0714",46.72,-122.15
"NARS",HOH RIVER,"NARS-WWAP99-0752",47.81,-124.01
OREGONDEQ,Siletz R 5 miles DS of Siletz at RM 29.9,OREGONDEQ-10391-ORDEQ,44.76428368,-123.91502
OREGONDEQ,North Fork Coquille River at Hwy 42 (Myrtle Point),OREGONDEQ-10393-ORDEQ,43.07848703,-124.1380947
OREGONDEQ,Rogue River at Lobster Creek Bridge,OREGONDEQ-10414-ORDEQ,42.50349581,-124.2932249
OREGONDEQ,Rogue River at Robertson Bridge (Merlin),OREGONDEQ-10418-ORDEQ,42.49646656,-123.4886101
OREGONDEQ,Rogue River at Hwy 234 (north of Gold Hill),OREGONDEQ-10421-ORDEQ,42.43238106,-123.0907077
OREGONDEQ,Rogue River at Hwy 234 (Dodge Park),OREGONDEQ-10423-ORDEQ,42.52496677,-122.8427653
OREGONDEQ,Applegate River at Hwy 199 (near Wilderville),OREGONDEQ-10428-ORDEQ,42.3974053,-123.4569766
OREGONDEQ,Umpqua River at Elkton Bridge,OREGONDEQ-10437-ORDEQ,43.63196317,-123.5671511
OREGONDEQ,Elk Creek at Elkton,OREGONDEQ-10441-ORDEQ,43.63527361,-123.564506
OREGONDEQ,South Umpqua at Melrose Road,OREGONDEQ-10442-ORDEQ,43.24178425,-123.4121303
OREGONDEQ,South Umpqua at Hwy 42 (Winston),OREGONDEQ-10443-ORDEQ,43.13391838,-123.3992438
OREGONDEQ,North Umpqua at Garden Valley Road (Roseburg),OREGONDEQ-10451-ORDEQ,43.27157828,-123.4107336
OREGONDEQ,Necanicum R at Forest Lake RV Camp (Seaside),OREGONDEQ-10521-ORDEQ,45.95191901,-123.9250156
OREGONDEQ,Nestucca R at Cloverdale,OREGONDEQ-10523-ORDEQ,45.20700786,-123.8898902
OREGONDEQ,Sixes River at Hwy 101 bridge,OREGONDEQ-10533-ORDEQ,42.81689039,-124.4822563
OREGONDEQ,Winchuck River 1.3 miles upstream of Hwy 101,OREGONDEQ-10537-ORDEQ,42.00832032,-124.1886369
OREGONDEQ,Schooner Creek at Highway 101 Bridge (Lincoln City),OREGONDEQ-10582-ORDEQ,44.9257628,-124.0140409
OREGONDEQ,Coquille River at Sturdivant Park Dock (Coquille),OREGONDEQ-10596-ORDEQ,43.17439981,-124.1993961
OREGONDEQ,Little Butte Creek at Agate Road (White City),OREGONDEQ-10602-ORDEQ,42.45527744,-122.8561347
OREGONDEQ,Wolf Creek at mouth,OREGONDEQ-10990-ORDEQ,43.95521878,-123.6206644
OREGONDEQ,Calapooya Creek at Umpqua,OREGONDEQ-10996-ORDEQ,43.36663162,-123.460813
OREGONDEQ,Cow Creek at mouth,OREGONDEQ-10997-ORDEQ,42.94294701,-123.3368795
OREGONDEQ,Beaver Creek at Beaver,OREGONDEQ-11005-ORDEQ,45.27748251,-123.8261676
OREGONDEQ,Bear Creek at Kirtland Road (Central Point),OREGONDEQ-11051-ORDEQ,42.42683011,-122.9573795
OREGONDEQ,Ecola CR at Cannon Beach Loop RD,OREGONDEQ-11229-ORDEQ,45.90228039,-123.9584371
OREGONDEQ,Salmon River at Old Scenic Hwy 101 (Otis),OREGONDEQ-11241-ORDEQ,45.02313699,-123.9466994
OREGONDEQ,Alsea River at Thissell Road (Mike Bauer Park),OREGONDEQ-11263-ORDEQ,44.38633782,-123.8312376
OREGONDEQ,Yaquina River at Trapp Road (Chitwood),OREGONDEQ-11476-ORDEQ,44.65756552,-123.8389062
OREGONDEQ,Illinois River downstream of Kerby,OREGONDEQ-11482-ORDEQ,42.24564278,-123.6891897
OREGONDEQ,Chetco River at USGS Gage (10 miles upstream of Brookings),OREGONDEQ-11483-ORDEQ,42.1242675,-124.1870937
OREGONDEQ,South Umpqua at Days Creek Cutoff Road (Canyonville),OREGONDEQ-11484-ORDEQ,42.97121856,-123.2138782
OREGONDEQ,South Fork Coquille River at Broadbent,OREGONDEQ-11486-ORDEQ,43.00837515,-124.1508795
OREGONDEQ,Smith River 4.4 miles downstream of Smith River Falls,OREGONDEQ-11491-ORDEQ,43.78829362,-123.8643234
OREGONDEQ,Pistol River at Pistol River Loop Road,OREGONDEQ-11493-ORDEQ,42.27189367,-124.3970708
OREGONDEQ,South Umpqua at Stewart Park Road (Roseburg),OREGONDEQ-11522-ORDEQ,43.21745899,-123.3665207
OREGONDEQ,North Fork Coquille River at Cooper Bridge,OREGONDEQ-11571-ORDEQ,43.07141578,-124.1073306
OREGONDEQ,Salmonberry River at mouth,OREGONDEQ-11849-ORDEQ,45.75005517,-123.6531171
OREGONDEQ,Nehalem River at Foley Road (Roy Creek Campground),OREGONDEQ-11856-ORDEQ,45.69975923,-123.8441202
OREGONDEQ,Elk River at Hwy 101,OREGONDEQ-11905-ORDEQ,42.79401881,-124.4889754
OREGONDEQ,Floras Creek at Hwy 101 south of Langlois,OREGONDEQ-12590-ORDEQ,42.91603557,-124.4520811
OREGONDEQ,Tenmile Creek at Lakeside Marina (off Park Street),OREGONDEQ-12607-ORDEQ,43.57374807,-124.1749771
OREGONDEQ,Wilson River at Hwy 6 (Lee's Camp),OREGONDEQ-12951-ORDEQ,45.58953393,-123.5355967
OREGONDEQ,South Fork Trask River downstream of Edwards Creek,OREGONDEQ-12962-ORDEQ,45.41624531,-123.605532
OREGONDEQ,Miami River at Moss Creek Road,OREGONDEQ-13411-ORDEQ,45.57482872,-123.8738959
OREGONDEQ,Kilchis River at Alderbrook Road,OREGONDEQ-13417-ORDEQ,45.49625623,-123.8443953
OREGONDEQ,Wilson River at Hwy 101,OREGONDEQ-13421-ORDEQ,45.4782454,-123.8443842
OREGONDEQ,Wilson R at HWY 6 at LLID RM 10.2,OREGONDEQ-13424-ORDEQ,45.47183242,-123.7367122
OREGONDEQ,Trask River at Netarts Road (Hwy. 6),OREGONDEQ-13431-ORDEQ,45.45620156,-123.859714
OREGONDEQ,Trask River at Hwy 101,OREGONDEQ-13433-ORDEQ,45.42943143,-123.8238939
OREGONDEQ,Tillamook River at Bewley Creek Road,OREGONDEQ-13440-ORDEQ,45.40798957,-123.8246588
OREGONDEQ,West Fork Millicoma River at Allegany,OREGONDEQ-13569-ORDEQ,43.42449334,-124.0308525
OREGONDEQ,Millicoma River at Rooke-Higgins boat ramp,OREGONDEQ-13570-ORDEQ,43.40329384,-124.0640128
OREGONDEQ,South Fork Coos River at Anson Rogers Bridge,OREGONDEQ-13574-ORDEQ,43.36591445,-124.0820888
OREGONDEQ,North Fork Nehalem River at Highway 53,OREGONDEQ-18802-ORDEQ,45.8133034,-123.7704397
OREGONDEQ,Lake Creek at Deaddog Hole,OREGONDEQ-20434-ORDEQ,44.07074633,-123.7858127
OREGONDEQ,Nestucca River at first bridge ramp (upstream of Beaver),OREGONDEQ-22394-ORDEQ,45.27682086,-123.8182912
OREGONDEQ,"South Fork Coquille River, River Mile 1.0, Myrtle Point boat ramp",OREGONDEQ-25754-ORDEQ,43.066765,-124.147438
OREGONDEQ,Elk Creek at ODFW Hatchery,OREGONDEQ-28303-ORDEQ,42.73841478,-124.4010229
OREGONDEQ,Ferry Creek downstream of ODFW Hatchery,OREGONDEQ-28803-ORDEQ,43.11484378,-124.3845009
OREGONDEQ,Cummins Creek,OREGONDEQ-29900-ORDEQ,44.26695349,-124.0980637
OREGONDEQ,Chetco River below Jack Creek,OREGONDEQ-30670-ORDEQ,42.06352559,-124.2289491
OREGONDEQ,Humbug Creek near mouth (Nehalem),OREGONDEQ-32980-ORDEQ,45.85138448,-123.5843414
OREGONDEQ,Siuslaw River at Tide boat ramp,OREGONDEQ-33642-ORDEQ,44.04286095,-123.8757263
OREGONDEQ,North Beaver Creek at NW Beaver Valley Drive,OREGONDEQ-33644-ORDEQ,44.5029595,-124.0229282
OREGONDEQ,Coquille R MID FK at RM 1.25,OREGONDEQ-33922-ORDEQ,43.03258028,-124.1000381
OREGONDEQ,Panther Creek at North Bank Road (Salmon River),OREGONDEQ-34115-ORDEQ,45.00833186,-123.9150553
OREGONDEQ,Yachats River at RM 0.9,OREGONDEQ-34425-ORDEQ,44.30934251,-124.0938195
OREGONDEQ,Salmon River at Hatchery Below Weir Approx. USGS RM 5.05,OREGONDEQ-35486-ORDEQ,45.0163754,-123.9383516
OREGONDEQ,Alsea at Mill Creek Boat Landing,OREGONDEQ-36432-ORDEQ,44.3847,-123.6281582
OREGONDEQ,New River Near Strorm Ranch Boat Ramp,OREGONDEQ-36638-ORDEQ,42.99660807,-124.4575511
OREGONDEQ,Lake Creek at Sumich Rd bridge (above Triangle Lake),OREGONDEQ-36803-ORDEQ,44.1836742,-123.5540956
OREGONDEQ,"Applegate River at Murphy, OR",OREGONDEQ-36805-ORDEQ,42.34389968,-123.3331142
